0 100 100 0 0 0 100 100 73 70 100 67 60 73 97 83 100 53 10 0 37 80 100 100 100 0 13 100 100 100
100 0 100 100 0 0 0 100 27 23 73 100 100 100 83 50 100 70 27 37 57 93 100 100 100 0 17 100 100 0
100 100 0 100 100 0 0 0 0 17 63 100 100 100 70 27 63 100 77 83 93 87 63 53 100 100 47 80 100 0
0 100 100 0 100 100 0 0 17 40 73 100 100 100 67 17 23 73 100 100 100 67 30 7 13 100 77 47 100 3
0 0 100 100 0 100 100 0 60 73 97 83 73 70 100 67 37 80 100 100 100 53 10 0 0 100 100 13 100 100
0 0 0 100 100 0 100 100 100 100 83 50 27 23 73 100 57 93 100 100 100 70 27 37 0 100 100 17 0 100
100 0 0 0 100 100 0 100 100 100 70 27 0 17 63 100 93 87 63 53 63 100 77 83 100 100 80 47 0 100
100 100 0 0 0 100 100 0 100 100 67 17 17 40 73 100 100 67 30 7 23 73 100 100 100 13 47 77 3 100
73 27 0 17 60 100 100 100 0 100 100 0 0 0 100 100 90 87 100 63 43 53 77 100 100 97 100 37 30 93
70 23 17 40 73 100 100 100 100 0 100 100 0 0 0 100 47 37 70 100 93 100 100 67 100 0 100 0 0 100
100 73 63 73 97 83 70 67 100 100 0 100 100 0 0 0 10 0 43 97 100 100 90 47 100 0 100 0 27 100
67 100 100 100 83 50 27 17 0 100 100 0 100 100 0 0 0 20 57 100 100 100 83 33 100 20 100 67 60 67
60 100 100 100 73 27 0 17 0 0 100 100 0 100 100 0 43 53 77 100 90 87 100 63 97 100 37 100 93 30
73 100 100 100 70 23 17 40 0 0 0 100 100 0 100 100 93 100 100 67 47 37 70 100 0 100 0 100 100 0
97 83 70 67 100 73 63 73 100 0 0 0 100 100 0 100 100 100 90 47 10 0 43 97 0 100 0 100 100 27
83 50 27 17 67 100 100 100 100 100 0 0 0 100 100 0 100 100 83 33 0 20 57 100 20 100 67 100 67 60
100 100 63 23 37 57 93 100 90 47 10 0 43 93 100 100 0 100 100 0 0 0 100 100 50 77 0 100 100 30
53 70 100 73 80 93 87 67 87 37 0 20 53 100 100 100 100 0 100 100 0 0 0 100 17 100 100 100 100 0
10 27 77 100 100 100 63 30 100 70 43 57 77 100 90 83 100 100 0 100 100 0 0 0 7 100 100 0 100 0
0 37 83 100 100 100 53 7 63 100 97 100 100 67 47 33 0 100 100 0 100 100 0 0 40 83 100 0 100 87
37 57 93 100 100 100 63 23 43 93 100 100 90 47 10 0 0 0 100 100 0 100 100 0 77 50 100 0 30 100
80 93 87 67 53 70 100 73 53 100 100 100 87 37 0 20 0 0 0 100 100 0 100 100 100 17 100 100 0 100
100 100 63 30 10 27 77 100 77 100 90 83 100 70 43 57 100 0 0 0 100 100 0 100 100 7 0 100 0 100
100 100 53 7 0 37 83 100 100 67 47 33 63 100 97 100 100 100 0 0 0 100 100 0 83 40 0 100 87 100
100 100 100 13 0 0 100 100 100 100 100 100 97 0 0 20 50 17 7 40 77 100 100 83 0 0 70 93 23 100
0 0 100 100 100 100 100 13 97 0 0 20 100 100 100 100 77 100 100 83 50 17 7 40 0 0 93 70 100 23
13 17 47 77 100 100 80 47 100 100 100 100 37 0 0 67 0 100 100 100 100 100 0 0 70 93 0 0 33 100
100 100 80 47 13 17 47 77 37 0 0 67 100 100 100 100 100 100 0 0 0 100 100 100 93 70 0 0 100 33
100 100 100 100 100 0 0 3 30 0 27 60 93 100 100 67 100 100 100 100 30 0 0 87 23 100 33 100 0 0
100 0 0 3 100 100 100 100 93 100 100 67 30 0 27 60 30 0 0 87 100 100 100 100 100 23 100 33 0 0
